Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
25-34,>35000,Family,Arab,Few regulars,Once/week,511.39,Lunch,Weekdays,Delivery App,3-4 people,7-15km,Fast Food,Premium/Fine Dining,Marina,Slightly sensitive,Probably not,Neutral,Not important,10%,No impact,"Oct-Dec, Jan-Mar",3,Unpredictable pricing,"Personalised discounts, Demand alerts, Low-demand discounts",Medium,1.04,,511.39,531.85,0.0,14.8,50.0,3,Yes
18-24,<5000,Student,Arab,Loyal to 1-2,Once/week,22.99,Dinner,Weekdays,Delivery App,Alone,3-7km,Indian/Pakistani,Budget/Casual,Business Bay,Moderately sensitive,Probably yes,Neutral,Very important,15%,Outdoor dining in pleasant weather,"Jul-Sep, Apr-Jun",5,"Hard to find tables, Long wait times, High weekend prices, Long delivery time","Low-demand discounts, Group dining deals, Loyalty rewards, Personalised discounts",Medium,0.96,,22.99,22.07,4.0,7.0,35.0,5,Yes
35-44,>35000,Family,Western Expat,Loyalty program user,Multiple/week,605.63,Late Night,Weekends,Delivery App,5+,3-7km,Western,Premium/Fine Dining,Downtown,Slightly sensitive,Definitely not,Very fair,Slightly important,10%,Outdoor dining in pleasant weather,"Jul-Sep, Apr-Jun",4,Long delivery time,"Table availability, Wait time estimate, Loyalty rewards",Medium,1.03,,605.63,623.8,0.0,3.4,20.0,4,Yes
35-44,10001-20000,Student,South Asian,Explorer,Multiple/week,87.6,Lunch,Weekends,Restaurant App,2 people,3-7km,Arabic,Budget/Casual,Business Bay,Moderately sensitive,Probably not,Neutral,Very important,5%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun",5,Crowded restaurants,Real-time pricing,Medium,1.0,,87.6,87.6,0.0,4.2,24.0,5,No
25-34,20001-35000,Tourist,African,Few regulars,Once/week,270.96,Dinner,Both,Delivery App,2 people,<3km,Healthy/Vegan,Premium/Fine Dining,Marina,Slightly sensitive,Probably yes,Unfair,Moderately important,15%,Switch to delivery in heat,"Jan-Mar, Apr-Jun",5,"High delivery fees, High weekend prices, Crowded restaurants","Wait time estimate, Loyalty rewards, Group dining deals, Table availability",High,1.21,,270.96,327.86,0.0,2.7,24.0,5,No
25-34,10001-20000,Professional,South Asian,Few regulars,Multiple/week,99.36,Dinner,Both,Delivery App,2 people,3-7km,Western,Depends on occasion,JBR,Moderately sensitive,Maybe,Neutral,Not important,10%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",4,"High weekend prices, Long wait times, Limited discounts","Real-time pricing, Personalised discounts, Group dining deals",High,1.16,,99.36,115.26,0.0,4.2,27.0,4,No
18-24,<5000,Student,South Asian,Explorer,2-3/month,27.81,Late Night,Weekends,Dine-in,2 people,3-7km,Arabic,Budget/Casual,Deira,Very sensitive,Definitely yes,Very fair,Very important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec",4,"Long delivery time, Hard to find tables","Low-demand discounts, Real-time pricing",High,1.18,63.4,27.81,32.82,0.0,,,4,Yes
55+,10001-20000,Family,South Asian,Loyalty program user,Multiple/week,522.94,Late Night,Both,Dine-in,3-4 people,3-7km,Fast Food,Premium/Fine Dining,Marina,Not sensitive,Probably not,Neutral,Very important,5%,Dine-in more during heat,Jan-Mar,3,"Long delivery time, Limited discounts, High weekend prices, Long wait times","Group dining deals, Low-demand discounts, Personalised discounts",High,1.4,70.2,522.94,732.12,0.0,,,3,No
25-34,5000-10000,Family,South Asian,Few regulars,Once/month,91.0,Breakfast,Both,Dine-in,3-4 people,3-7km,Western,Depends on occasion,Mall,Moderately sensitive,Probably yes,Very fair,Extremely important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar",4,"High delivery fees, Long delivery time, Limited discounts, Unpredictable pricing","Loyalty rewards, Wait time estimate, Low-demand discounts, Table availability",Medium,1.0,30.3,91.0,91.0,0.0,,,4,Yes
35-44,20001-35000,Family,South Asian,Loyal to 1-2,Once/week,385.35,Dinner,Both,Takeaway,5+,7-15km,Healthy/Vegan,Premium/Fine Dining,Downtown,Slightly sensitive,Definitely yes,Very fair,Very important,20%,No impact,"Jan-Mar, Oct-Dec, Jul-Sep",3,"High delivery fees, Long delivery time, Unpredictable pricing, High weekend prices","Group dining deals, Personalised discounts",High,1.34,,385.35,516.37,0.0,11.5,37.0,3,Yes
35-44,10001-20000,Family,South Asian,Loyal to 1-2,Once/week,92.81,Lunch,Weekends,Dine-in,2 people,<3km,Indian/Pakistani,Mid-range,Downtown,Moderately sensitive,Probably not,Very unfair,Very important,10%,Switch to delivery in heat,"Jul-Sep, Jan-Mar, Apr-Jun",5,Long wait times,"Group dining deals, Real-time pricing",Medium,1.02,70.7,92.81,94.67,0.0,,,5,Yes
18-24,20001-35000,Tourist,Western Expat,Explorer,Multiple/week,128.92,Late Night,Weekdays,Takeaway,2 people,3-7km,Healthy/Vegan,Budget/Casual,Marina,Not sensitive,Definitely not,Unfair,Very important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",5,"High weekend prices, Long delivery time",Table availability,Medium,1.0,,128.92,128.92,0.0,3.6,33.0,5,Yes
25-34,5000-10000,Professional,South Asian,Few regulars,Multiple/week,53.88,Lunch,Weekends,Delivery App,2 people,7-15km,Indian/Pakistani,Mid-range,Downtown,Very sensitive,Probably yes,Unfair,Very important,20%,Outdoor dining in pleasant weather,Oct-Dec,2,Unpredictable pricing,"Table availability, Personalised discounts",Medium,1.11,,53.88,59.81,0.0,7.4,36.0,2,No
25-34,5000-10000,Family,Western Expat,Few regulars,Once/week,70.46,Late Night,Both,Dine-in,3-4 people,>15km,Western,Mid-range,Marina,Slightly sensitive,Probably yes,Somewhat fair,Very important,15%,No impact,Apr-Jun,4,"Crowded restaurants, Long wait times, Unpredictable pricing, Long delivery time","Real-time pricing, Personalised discounts, Group dining deals, Table availability",Medium,0.91,26.9,70.46,64.12,9.0,,,4,Yes
25-34,10001-20000,Professional,Arab,Few regulars,Once/week,100.5,Late Night,Weekends,Dine-in,3-4 people,<3km,Fast Food,Budget/Casual,DIFC,Very sensitive,Maybe,Somewhat fair,Slightly important,10%,Switch to delivery in heat,"Oct-Dec, Apr-Jun",4,"Long delivery time, Crowded restaurants, Hard to find tables, High weekend prices","Real-time pricing, Wait time estimate, Demand alerts",High,1.21,79.9,100.5,121.6,0.0,,,4,Yes
55+,5000-10000,Family,South Asian,Loyal to 1-2,Rarely,93.37,Breakfast,Weekends,Dine-in,5+,3-7km,Asian,Mid-range,Mall,Moderately sensitive,Maybe,Neutral,Extremely important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar",4,"Hard to find tables, High delivery fees","Real-time pricing, Low-demand discounts",Medium,1.02,36.2,93.37,95.24,0.0,,,4,No
18-24,<5000,Student,South Asian,Few regulars,Once/month,28.95,Late Night,Weekends,Delivery App,Alone,<3km,Asian,Mid-range,Business Bay,Very sensitive,Probably not,Neutral,Not important,>20%,Switch to delivery in heat,"Jan-Mar, Jul-Sep, Oct-Dec",2,Limited discounts,"Wait time estimate, Personalised discounts, Group dining deals",High,1.18,,28.95,34.16,0.0,2.1,18.0,2,Yes
35-44,5000-10000,Family,Western Expat,Loyal to 1-2,Rarely,94.24,Lunch,Weekends,Dine-in,3-4 people,7-15km,Healthy/Vegan,Depends on occasion,Deira,Moderately sensitive,Probably yes,Somewhat fair,Extremely important,15%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Apr-Jun",4,"Unpredictable pricing, Long wait times, High delivery fees, Limited discounts",Personalised discounts,Medium,0.98,49.7,94.24,92.36,2.0,,,4,Yes
35-44,10001-20000,Family,African,Explorer,2-3/month,83.16,Breakfast,Both,Dine-in,2 people,<3km,Fast Food,Mid-range,Deira,Moderately sensitive,Probably yes,Somewhat fair,Slightly important,15%,Switch to delivery in heat,"Jul-Sep, Jan-Mar",4,"Long wait times, Unpredictable pricing, High weekend prices","Loyalty rewards, Wait time estimate, Group dining deals",Medium,0.96,27.5,83.16,79.83,4.0,,,4,Yes
45-54,5000-10000,Family,South Asian,Few regulars,Multiple/week,95.58,Lunch,Both,Takeaway,5+,<3km,Indian/Pakistani,Mid-range,Mall,Moderately sensitive,Definitely yes,Unfair,Extremely important,15%,Switch to delivery in heat,Jan-Mar,4,"Limited discounts, High weekend prices","Real-time pricing, Demand alerts, Personalised discounts",Medium,0.98,,95.58,93.67,2.0,2.2,19.0,4,Yes
18-24,<5000,Family,South Asian,Few regulars,Once/week,37.17,Late Night,Weekends,Delivery App,2 people,7-15km,Western,Budget/Casual,Deira,Very sensitive,Maybe,Very unfair,Very important,>20%,No impact,"Apr-Jun, Jul-Sep, Oct-Dec",3,"Hard to find tables, Unpredictable pricing, High weekend prices",Group dining deals,High,1.19,,37.17,44.23,0.0,11.6,44.0,3,Yes
45-54,20001-35000,Family,Western Expat,Explorer,Multiple/week,302.39,Lunch,Weekends,Takeaway,3-4 people,<3km,Western,Premium/Fine Dining,Marina,Moderately sensitive,Probably yes,Somewhat fair,Slightly important,20%,Switch to delivery in heat,"Jan-Mar, Oct-Dec, Apr-Jun",1,"Long wait times, High weekend prices, Hard to find tables","Loyalty rewards, Real-time pricing, Personalised discounts",Medium,1.13,,302.39,341.7,0.0,1.2,26.0,1,Yes
25-34,20001-35000,Student,Western Expat,Few regulars,Once/week,119.4,Lunch,Both,Takeaway,2 people,7-15km,Western,Mid-range,Downtown,Very sensitive,Probably yes,Neutral,Moderately important,20%,Dine-in more during heat,Oct-Dec,3,"Limited discounts, Unpredictable pricing, High weekend prices",Demand alerts,Medium,0.94,,119.4,112.24,6.0,8.1,36.0,3,No
35-44,20001-35000,Family,East Asian,Few regulars,Once/week,90.29,Late Night,Both,Delivery App,Alone,<3km,Fast Food,Budget/Casual,Marina,Moderately sensitive,Probably yes,Somewhat fair,Extremely important,15%,No impact,"Jul-Sep, Oct-Dec",3,High weekend prices,"Personalised discounts, Loyalty rewards, Group dining deals",High,1.21,,90.29,109.25,0.0,2.6,24.0,3,Yes
25-34,<5000,Tourist,Western Expat,Few regulars,2-3/month,32.24,Dinner,Both,Delivery App,2 people,>15km,Western,Budget/Casual,Deira,Very sensitive,Probably not,Neutral,Very important,20%,Outdoor dining in pleasant weather,Jul-Sep,3,"Crowded restaurants, High weekend prices, Limited discounts, Unpredictable pricing","Wait time estimate, Low-demand discounts, Personalised discounts",Medium,0.95,,32.24,30.63,5.0,16.8,54.0,3,Yes
25-34,10001-20000,Professional,Arab,Loyal to 1-2,Once/week,138.67,Dinner,Weekends,Takeaway,3-4 people,3-7km,Arabic,Depends on occasion,Mall,Slightly sensitive,Definitely not,Neutral,Not important,10%,No impact,"Apr-Jun, Oct-Dec",4,"Long delivery time, Hard to find tables, Crowded restaurants, Limited discounts","Real-time pricing, Table availability",High,1.2,,138.67,166.4,0.0,5.9,26.0,4,Yes
25-34,10001-20000,Professional,South Asian,Few regulars,Rarely,97.65,Late Night,Weekdays,Delivery App,Alone,3-7km,Fast Food,Mid-range,DIFC,Very sensitive,Maybe,Somewhat fair,Extremely important,>20%,Switch to delivery in heat,"Jul-Sep, Jan-Mar",4,"Unpredictable pricing, Long wait times, Hard to find tables, Crowded restaurants","Wait time estimate, Loyalty rewards, Demand alerts",Medium,1.01,,97.65,98.63,0.0,4.4,28.0,4,Yes
18-24,5000-10000,Student,South Asian,Loyal to 1-2,Once/week,47.43,Dinner,Both,Restaurant App,Alone,7-15km,Indian/Pakistani,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Somewhat fair,Very important,>20%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun, Jul-Sep",1,"Crowded restaurants, High delivery fees, Long delivery time",Real-time pricing,High,1.19,,47.43,56.44,0.0,13.8,44.0,1,No
55+,>35000,Family,Arab,Loyal to 1-2,Once/week,643.4,Lunch,Both,Dine-in,5+,<3km,Arabic,Premium/Fine Dining,DIFC,Very sensitive,Probably yes,Very fair,Moderately important,20%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",5,"High delivery fees, Unpredictable pricing, Hard to find tables","Personalised discounts, Real-time pricing, Group dining deals",Medium,1.13,66.3,643.4,727.04,0.0,,,5,Yes
18-24,5000-10000,Student,South Asian,Few regulars,Rarely,70.01,Dinner,Both,Dine-in,3-4 people,<3km,Indian/Pakistani,Mid-range,Deira,Slightly sensitive,Probably not,Very unfair,Slightly important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Apr-Jun",2,Limited discounts,"Real-time pricing, Low-demand discounts",High,1.22,93.2,70.01,85.41,0.0,,,2,No
35-44,20001-35000,Professional,South Asian,Explorer,Once/month,125.45,Dinner,Both,Delivery App,2 people,<3km,Indian/Pakistani,Mid-range,JBR,Moderately sensitive,Maybe,Neutral,Extremely important,20%,Switch to delivery in heat,Oct-Dec,4,"Unpredictable pricing, Hard to find tables, High delivery fees","Personalised discounts, Table availability, Wait time estimate",High,1.23,,125.45,154.3,0.0,2.4,27.0,4,Yes
18-24,5000-10000,Student,South Asian,Few regulars,Once/month,65.53,Dinner,Weekends,Delivery App,2 people,<3km,Indian/Pakistani,Mid-range,Deira,Very sensitive,Maybe,Unfair,Not important,15%,No impact,Jan-Mar,3,"Long delivery time, Crowded restaurants, High delivery fees, Long wait times","Loyalty rewards, Wait time estimate",High,1.22,,65.53,79.95,0.0,2.0,15.0,3,No
25-34,5000-10000,Student,South Asian,Few regulars,Once/week,85.64,Dinner,Both,Delivery App,3-4 people,3-7km,Asian,Mid-range,Downtown,Moderately sensitive,Definitely not,Unfair,Very important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Apr-Jun",4,"Hard to find tables, High weekend prices, Unpredictable pricing, Limited discounts","Wait time estimate, Table availability, Personalised discounts",High,1.2,,85.64,102.77,0.0,5.9,34.0,4,Yes
18-24,5000-10000,Tourist,South Asian,Explorer,Once/month,67.55,Late Night,Weekends,Takeaway,2 people,7-15km,Indian/Pakistani,Budget/Casual,Downtown,Slightly sensitive,Probably yes,Somewhat fair,Not important,10%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec",4,"Unpredictable pricing, Limited discounts, Long wait times","Loyalty rewards, Wait time estimate, Real-time pricing, Personalised discounts",High,1.06,,67.55,71.6,0.0,11.0,38.0,4,Yes
55+,>35000,Family,African,Few regulars,Multiple/week,365.85,Breakfast,Both,Delivery App,5+,<3km,Asian,Mid-range,DIFC,Moderately sensitive,Definitely yes,Somewhat fair,Slightly important,>20%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",4,High weekend prices,"Wait time estimate, Demand alerts, Group dining deals",Medium,0.92,,365.85,336.58,8.0,1.2,16.0,4,Yes
25-34,5000-10000,Professional,South Asian,Loyal to 1-2,Once/week,45.79,Dinner,Weekdays,Takeaway,2 people,3-7km,Western,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Somewhat fair,Very important,15%,Outdoor dining in pleasant weather,Oct-Dec,4,"High weekend prices, Hard to find tables","Loyalty rewards, Wait time estimate, Demand alerts",Medium,1.01,,45.79,46.25,0.0,4.8,38.0,4,Yes
55+,10001-20000,Family,South Asian,Loyal to 1-2,Once/week,147.0,Lunch,Both,Dine-in,5+,3-7km,Fast Food,Mid-range,Downtown,Moderately sensitive,Maybe,Very fair,Very important,10%,Dine-in more during heat,"Oct-Dec, Jul-Sep",5,"High delivery fees, Crowded restaurants, Long delivery time","Personalised discounts, Wait time estimate",Medium,0.92,63.3,147.0,135.24,8.0,,,5,No
55+,5000-10000,Tourist,South Asian,Explorer,2-3/month,160.36,Dinner,Both,Takeaway,3-4 people,<3km,Western,Premium/Fine Dining,Deira,Moderately sensitive,Probably not,Neutral,Moderately important,20%,Outdoor dining in pleasant weather,Oct-Dec,4,"High weekend prices, Hard to find tables, High delivery fees, Long wait times",Wait time estimate,High,1.31,,160.36,210.07,0.0,1.1,18.0,4,No
25-34,5000-10000,Professional,South Asian,Loyal to 1-2,2-3/month,54.61,Late Night,Weekdays,Delivery App,2 people,7-15km,Arabic,Mid-range,Mall,Very sensitive,Definitely yes,Neutral,Slightly important,>20%,No impact,"Jan-Mar, Oct-Dec, Jul-Sep",4,Hard to find tables,"Low-demand discounts, Demand alerts, Loyalty rewards",Medium,1.0,,54.61,54.61,0.0,8.7,37.0,4,Yes
25-34,<5000,Professional,African,Loyalty program user,2-3/month,45.4,Dinner,Both,Delivery App,Alone,<3km,Western,Depends on occasion,Business Bay,Very sensitive,Maybe,Unfair,Moderately important,15%,No impact,"Oct-Dec, Apr-Jun, Jan-Mar",4,"High delivery fees, Hard to find tables","Low-demand discounts, Loyalty rewards, Group dining deals, Demand alerts",High,1.17,,45.4,53.12,0.0,1.7,17.0,4,Yes
18-24,<5000,Professional,Western Expat,Few regulars,Multiple/week,44.96,Late Night,Weekends,Dine-in,2 people,7-15km,Arabic,Mid-range,Deira,Very sensitive,Definitely not,Somewhat fair,Extremely important,>20%,Outdoor dining in pleasant weather,"Apr-Jun, Jan-Mar",4,"High delivery fees, Limited discounts, Unpredictable pricing, Crowded restaurants",Demand alerts,High,1.24,73.6,44.96,55.75,0.0,,,4,Yes
45-54,5000-10000,Professional,South Asian,Explorer,Multiple/week,67.38,Dinner,Weekends,Delivery App,3-4 people,3-7km,Indian/Pakistani,Budget/Casual,Deira,Very sensitive,Definitely yes,Unfair,Moderately important,>20%,No impact,"Oct-Dec, Jul-Sep",1,"Long delivery time, High delivery fees",Low-demand discounts,High,1.09,,67.38,73.44,0.0,6.3,38.0,1,Yes
25-34,10001-20000,Family,Western Expat,Few regulars,Multiple/week,67.52,Dinner,Both,Delivery App,2 people,3-7km,Asian,Budget/Casual,Marina,Moderately sensitive,Probably yes,Very fair,Extremely important,15%,Switch to delivery in heat,"Apr-Jun, Oct-Dec",4,"High weekend prices, Hard to find tables, Unpredictable pricing","Personalised discounts, Demand alerts",High,1.13,,67.52,76.3,0.0,3.7,25.0,4,Yes
35-44,20001-35000,Professional,South Asian,Loyalty program user,Once/week,159.05,Lunch,Both,Dine-in,2 people,<3km,Indian/Pakistani,Mid-range,Downtown,Moderately sensitive,Definitely not,Unfair,Very important,20%,No impact,"Jan-Mar, Oct-Dec, Jul-Sep",4,Long wait times,"Table availability, Real-time pricing, Group dining deals, Wait time estimate",Medium,1.08,54.8,159.05,171.77,0.0,,,4,Yes
18-24,5000-10000,Professional,Arab,Explorer,2-3/month,41.09,Late Night,Both,Delivery App,Alone,3-7km,Asian,Budget/Casual,Business Bay,Moderately sensitive,Definitely yes,Somewhat fair,Not important,15%,Switch to delivery in heat,Oct-Dec,5,"High weekend prices, Crowded restaurants, Unpredictable pricing, Long wait times","Loyalty rewards, Real-time pricing, Low-demand discounts",High,1.13,,41.09,46.43,0.0,4.1,19.0,5,No
35-44,5000-10000,Professional,South Asian,Few regulars,Once/month,44.82,Dinner,Weekends,Dine-in,Alone,<3km,Indian/Pakistani,Budget/Casual,Business Bay,Moderately sensitive,Definitely not,Somewhat fair,Very important,15%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Apr-Jun",4,"Hard to find tables, Long wait times, High delivery fees","Personalised discounts, Group dining deals, Loyalty rewards, Table availability",High,1.18,59.3,44.82,52.89,0.0,,,4,Yes
25-34,10001-20000,Professional,South Asian,Loyal to 1-2,Once/week,411.44,Late Night,Weekends,Takeaway,2 people,<3km,Indian/Pakistani,Premium/Fine Dining,Marina,Not sensitive,Definitely not,Very unfair,Slightly important,10%,Switch to delivery in heat,"Jan-Mar, Jul-Sep, Oct-Dec",4,"Limited discounts, Long wait times","Table availability, Real-time pricing",High,1.26,,411.44,518.41,0.0,1.4,17.0,4,No
25-34,20001-35000,Student,South Asian,Few regulars,Multiple/week,68.19,Dinner,Weekends,Delivery App,Alone,<3km,Indian/Pakistani,Depends on occasion,DIFC,Very sensitive,Definitely yes,Very unfair,Extremely important,>20%,Switch to delivery in heat,Oct-Dec,4,"Long delivery time, Long wait times, Hard to find tables","Personalised discounts, Demand alerts, Table availability, Real-time pricing",High,1.2,,68.19,81.83,0.0,1.1,19.0,4,Yes
25-34,10001-20000,Professional,Arab,Loyal to 1-2,2-3/month,142.47,Dinner,Both,Delivery App,5+,3-7km,Indian/Pakistani,Mid-range,Downtown,Very sensitive,Definitely yes,Neutral,Very important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",4,"High weekend prices, Hard to find tables, Unpredictable pricing, Long delivery time","Demand alerts, Group dining deals",High,1.4,,142.47,284.94,0.0,6.1,24.0,4,No
55+,10001-20000,Family,Western Expat,Loyalty program user,Once/month,98.4,Dinner,Weekends,Delivery App,5+,7-15km,Western,Budget/Casual,Deira,Moderately sensitive,Maybe,Unfair,Not important,>20%,Dine-in more during heat,Oct-Dec,4,Crowded restaurants,"Low-demand discounts, Demand alerts, Table availability",High,1.08,,98.4,106.27,0.0,14.1,46.0,4,Yes
25-34,5000-10000,Professional,East Asian,Few regulars,Once/week,86.71,Dinner,Weekdays,Delivery App,Alone,3-7km,Western,Premium/Fine Dining,DIFC,Moderately sensitive,Maybe,Very unfair,Slightly important,>20%,No impact,"Oct-Dec, Apr-Jun",4,"Unpredictable pricing, Hard to find tables, High weekend prices","Loyalty rewards, Table availability",Medium,1.18,,86.71,102.32,0.0,5.5,32.0,4,Yes
25-34,20001-35000,Professional,African,Explorer,Multiple/week,253.51,Dinner,Weekends,Delivery App,5+,3-7km,Indian/Pakistani,Depends on occasion,Downtown,Slightly sensitive,Probably yes,Very fair,Not important,5%,Dine-in more during heat,"Jan-Mar, Oct-Dec, Apr-Jun",4,"High delivery fees, High weekend prices","Loyalty rewards, Real-time pricing, Demand alerts, Low-demand discounts",High,1.21,,253.51,306.75,0.0,4.2,25.0,4,Yes
18-24,<5000,Student,Arab,Few regulars,Once/month,37.61,Late Night,Weekends,Delivery App,Alone,7-15km,Arabic,Mid-range,Downtown,Very sensitive,Probably yes,Somewhat fair,Moderately important,20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jan-Mar",1,"Limited discounts, Long wait times, High weekend prices, Long delivery time","Real-time pricing, Loyalty rewards, Group dining deals",High,1.25,,37.61,47.01,0.0,7.6,42.0,1,Yes
25-34,5000-10000,Tourist,South Asian,Few regulars,2-3/month,100.71,Breakfast,Weekends,Dine-in,3-4 people,3-7km,Arabic,Mid-range,Deira,Very sensitive,Definitely yes,Very unfair,Extremely important,15%,Switch to delivery in heat,Jul-Sep,4,"Long delivery time, High weekend prices, Long wait times, Hard to find tables",Real-time pricing,Medium,0.99,36.9,100.71,99.7,1.0,,,4,No
25-34,5000-10000,Professional,Western Expat,Few regulars,2-3/month,78.94,Lunch,Weekends,Delivery App,3-4 people,3-7km,Healthy/Vegan,Depends on occasion,Deira,Very sensitive,Maybe,Somewhat fair,Extremely important,20%,Switch to delivery in heat,Oct-Dec,5,"Hard to find tables, High weekend prices",Wait time estimate,Medium,1.04,,78.94,82.1,0.0,3.9,30.0,5,Yes
18-24,<5000,Professional,Arab,Loyalty program user,Once/week,43.63,Dinner,Weekdays,Delivery App,2 people,<3km,Indian/Pakistani,Mid-range,DIFC,Very sensitive,Definitely yes,Somewhat fair,Very important,15%,Switch to delivery in heat,"Jul-Sep, Jan-Mar, Oct-Dec",5,"Long delivery time, High weekend prices, Crowded restaurants, Hard to find tables",Low-demand discounts,Medium,1.03,,43.63,44.94,0.0,1.0,21.0,5,Yes
18-24,10001-20000,Student,South Asian,Few regulars,2-3/month,76.57,Late Night,Both,Takeaway,Alone,<3km,Western,Depends on occasion,Mall,Moderately sensitive,Maybe,Somewhat fair,Slightly important,15%,Outdoor dining in pleasant weather,"Jan-Mar, Apr-Jun, Oct-Dec",5,"Long delivery time, Crowded restaurants, Limited discounts","Wait time estimate, Low-demand discounts, Demand alerts",High,1.27,,76.57,97.24,0.0,1.6,19.0,5,No
35-44,20001-35000,Tourist,South Asian,Explorer,Multiple/week,155.94,Dinner,Weekdays,Restaurant App,2 people,7-15km,Indian/Pakistani,Mid-range,Downtown,Moderately sensitive,Definitely not,Neutral,Moderately important,15%,Switch to delivery in heat,Oct-Dec,4,"Crowded restaurants, Hard to find tables","Real-time pricing, Table availability, Group dining deals, Loyalty rewards",Medium,0.97,,155.94,151.26,3.0,12.1,52.0,4,Yes
18-24,5000-10000,Student,South Asian,Explorer,Once/week,62.33,Dinner,Weekdays,Dine-in,Alone,<3km,Asian,Depends on occasion,JBR,Slightly sensitive,Maybe,Somewhat fair,Slightly important,20%,Outdoor dining in pleasant weather,Oct-Dec,4,Long wait times,"Table availability, Low-demand discounts, Group dining deals, Real-time pricing",Medium,1.03,79.3,62.33,64.2,0.0,,,4,Yes
18-24,5000-10000,Student,South Asian,Explorer,Multiple/week,95.24,Dinner,Weekends,Delivery App,3-4 people,3-7km,Arabic,Depends on occasion,Business Bay,Very sensitive,Definitely yes,Neutral,Very important,>20%,Switch to delivery in heat,"Jul-Sep, Jan-Mar, Oct-Dec",5,"Hard to find tables, High delivery fees","Group dining deals, Real-time pricing, Personalised discounts",High,1.23,,95.24,117.15,0.0,4.9,21.0,5,Yes
45-54,20001-35000,Professional,Arab,Loyal to 1-2,Multiple/week,132.04,Breakfast,Weekdays,Delivery App,3-4 people,3-7km,Healthy/Vegan,Budget/Casual,Business Bay,Not sensitive,Definitely not,Somewhat fair,Not important,10%,Outdoor dining in pleasant weather,Apr-Jun,4,"Limited discounts, Hard to find tables, Unpredictable pricing","Demand alerts, Personalised discounts, Real-time pricing",Low,0.8,,132.04,105.63,20.0,4.4,21.0,4,No
55+,5000-10000,Tourist,Arab,Explorer,Rarely,64.65,Lunch,Both,Delivery App,2 people,3-7km,Indian/Pakistani,Depends on occasion,DIFC,Very sensitive,Probably yes,Somewhat fair,Extremely important,20%,No impact,Apr-Jun,5,"Crowded restaurants, Long wait times, Unpredictable pricing","Low-demand discounts, Wait time estimate, Group dining deals, Real-time pricing",Medium,0.99,,64.65,64.0,1.0,6.4,33.0,5,Yes
35-44,5000-10000,Family,Western Expat,Few regulars,Multiple/week,80.27,Lunch,Both,Dine-in,3-4 people,<3km,Western,Mid-range,Mall,Moderately sensitive,Probably yes,Very fair,Very important,20%,Switch to delivery in heat,"Jul-Sep, Oct-Dec, Jan-Mar",3,"Crowded restaurants, Long wait times, Long delivery time, High delivery fees","Personalised discounts, Demand alerts",Medium,0.97,73.5,80.27,77.86,3.0,,,3,Yes
25-34,10001-20000,Family,South Asian,Loyalty program user,2-3/month,32.0,Dinner,Both,Delivery App,2 people,7-15km,Fast Food,Budget/Casual,Downtown,Very sensitive,Definitely not,Very fair,Moderately important,15%,Outdoor dining in pleasant weather,"Apr-Jun, Oct-Dec",4,"Unpredictable pricing, Hard to find tables","Demand alerts, Group dining deals, Table availability, Personalised discounts",High,1.22,,32.0,39.04,0.0,14.7,58.0,4,Yes
18-24,5000-10000,Family,South Asian,Loyalty program user,Rarely,50.06,Lunch,Weekends,Dine-in,2 people,7-15km,Fast Food,Budget/Casual,Deira,Moderately sensitive,Maybe,Very unfair,Extremely important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar",3,"Crowded restaurants, Unpredictable pricing, High delivery fees","Group dining deals, Demand alerts",Medium,0.81,54.1,50.06,40.55,19.0,,,3,Yes
